"Symbol";"Value";"Unit";
"REFERENCE";"618/5";"";
"TraceParts.PartVersion";"1.1.6";"";
"SUPPLIER";"KÜNEMUND Gruppe";"";
"de";"11";"mm";
"MASS";"1.16";"g";
"speed_oil";"53000";"rpm";
"di";"5";"mm";
"type";"offen / open";"";
"dyn_load";"0.635";"kN";
"TraceParts.PartLanguage";"de";"";
"speed_greas";"45000";"rpm";
"TraceParts.InstanceId";"90-20102020-0484959IMW00FIVNU0DNPOK7VP691HW";"";
"TraceParts.PartTitle";"Rillenkugellager 6xxx (nach / acc. to DIN 625-1)";"";
"TraceParts.PartStatus";"Published";"";
"stat_load";"0.25";"kN";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartNumber";"90-20102020-048495";"";
"TraceParts.PartStatusId";"";"";
"DESIGN";"618/5";"";
"TraceParts.ClassPath";"K_NEMUND_481134673:90-20102020-048495";"";
"width";"3";"mm";
