"Symbol";"Value";"Unit";
"REFERENCE";"625";"";
"TraceParts.PartVersion";"1.1.6";"";
"SUPPLIER";"KÜNEMUND Gruppe";"";
"de";"16";"mm";
"MASS";"4.9";"g";
"speed_oil";"60000";"rpm";
"di";"5";"mm";
"type";"offen / open";"";
"dyn_load";"1.76";"kN";
"TraceParts.PartLanguage";"de";"";
"speed_greas";"50000";"rpm";
"TraceParts.InstanceId";"90-20102020-048495A96O8HQMQ387552FC1GQ0ECLK";"";
"TraceParts.PartTitle";"Rillenkugellager 6xxx (nach / acc. to DIN 625-1)";"";
"TraceParts.PartStatus";"Published";"";
"stat_load";"0.63";"kN";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartNumber";"90-20102020-048495";"";
"TraceParts.PartStatusId";"";"";
"DESIGN";"625";"";
"TraceParts.ClassPath";"K_NEMUND_481134673:90-20102020-048495";"";
"width";"5";"mm";
